title,visits,pI,year,month
Hamburger Morgenpost Online,493.678,3.252.145,2003,11
Handelsblatt Junge Karriere,168.234,1.448.490,2003,11
Handelsblatt.com,2.803.366,13.200.243,2003,11
handy.de,1.033.639,12.179.112,2003,11
Hannoversche Allgemeine Zeitung,219.315,1.348.834,2003,11
HAO >> der Onlinedienst des Hellweger Anzeigers...,18.720,77.790,2003,11
Harburger Anzeigen und Nachrichten,32.213,121.044,2003,11
HAUS+GARTEN ONLINE,145.580,1.506.350,2003,11
Hausarbeiten.de,1.327.735,6.260.867,2003,11
Heidenheimer Zeitung online,30.443,90.329,2003,11
Heilbronner Stimme online,280.137,1.985.711,2003,11
Heilpflanzen-Welt,399.789,1.240.215,2003,11
heise online,18.877.747,110.686.847,2003,11
Hightext iBusiness,213.002,550.795,2003,11
Hit Radio Antenne,360.378,5.413.642,2003,11
Hit-Radio Antenne1,149.556,500.344,2003,11
HitMachine.de,7.504,30.972,2003,11
HNA online,141.288,574.741,2003,11
Holzmann.de,36.498,102.668,2003,11
HORIZONT.NET,347.780,1.714.581,2003,11
http://www.diabetes-world.net,70.821,351.188,2003,11
Idowa Online,72.175,709.503,2003,11
IKZ-online.de (Iserlohner Kreisanzeiger),42.860,183.478,2003,11
impulse.de,115.544,351.408,2003,11
Interaktive Verträge und juristische Vorlagen,111.806,478.543,2003,11
INTERNET-MAGAZIN,28.730,136.730,2003,11
Internetcologne,2.033.801,3.474.485,2003,11
INTRINET,222.326,1.839.742,2003,11
janolaw - Die juristische Direktberatung,118.105,511.140,2003,11
Jesus.de,487.753,6.014.871,2003,11
Journalismus.com,65.228,951.005,2003,11
JPC,932.665,6.253.906,2003,11
Kabel 1,504.568,6.594.333,2003,11
Kamelle,13.387,91.555,2003,11
kicker online,5.213.383,39.011.688,2003,11
Kilahu - Ihre Insel im Netz,783.008,6.937.490,2003,11
KISS FM,178.691,982.238,2003,11
Kochen & Genießen Online,137.406,1.477.134,2003,11
Köln Diskret,21.758,582.811,2003,11
Koeln.de,1.226.993,10.238.115,2003,11
Kölner Stadt-Anzeiger Online,811.610,6.554.237,2003,11
Kölnische Rundschau,207.492,852.906,2003,11
Konstruktionspraxis.de,11.132,31.207,2003,11
Kontaktanzeigen.de,128.878,1.222.593,2003,11
Kostenlos,768.552,6.463.769,2003,11
kress.de,187.441,624.664,2003,11
Kunststoffe.de,9.408,65.887,2003,11
L'TUR Last Minute Online,1.314.381,13.818.465,2003,11
Ladies.de,371.616,8.319.870,2003,11
LAUT. der musikkanal.,874.493,4.334.022,2003,11
Liebe Suende Online,68.843,2.367.986,2003,11
Lifeline-Gesundheitsberater,391.687,1.995.038,2003,11
Lissy-Online,64.836,1.011.520,2003,11
Live in Concert online,1.052,1.559,2003,11
Living at home,411.863,5.240.045,2003,11
LR-Online,87.283,1.063.489,2003,11
LVZ-Online,416.469,3.251.840,2003,11
LZ-Online (Lippische Landes-Zeitung),35.127,144.251,2003,11
LZ|NET,218.658,1.059.790,2003,11
macnews.de,937.569,2.720.157,2003,11
Macwelt,278.920,1.023.948,2003,11
Märkische Oderzeitung Online,63.201,322.589,2003,11
MaerkischeAllgemeine.de,155.387,965.854,2003,11
Main-Netz,110.835,1.070.517,2003,11
mainpost.de,232.433,2.619.728,2003,11
manager magazin online,4.370.371,13.166.290,2003,11
Managers Health,1.625,6.417,2003,11
Marco Polo,221.987,1.564.757,2003,11
MAX Online,1.792.574,17.431.225,2003,11
Maxim Online,435.723,8.568.257,2003,11
Media-Daten.com,35.517,209.954,2003,11
Mein schöner Garten Online,111.839,822.322,2003,11
meinberlin,809.565,4.672.388,2003,11
meinestadt.de,4.211.290,96.819.606,2003,11
MensHealth.de,111.968,782.170,2003,11
Merkur-Online,288.955,1.984.436,2003,11
mobile.de Der Automarkt,24.171.094,621.196.011,2003,11
moneyspecial,41.893,145.980,2003,11
Morgenweb,191.413,1.452.577,2003,11
Motorrad-Online,131.394,1.308.203,2003,11
MSN,82.525.066,278.243.134,2003,11
mt-online,70.767,218.736,2003,11
mtv.de,1.696.082,12.553.208,2003,11
multimedia.de,40.676,223.863,2003,11
multimedica - Medizin im Internet,302.175,2.786.352,2003,11
MVweb,122.925,685.622,2003,11
mz-web.de,230.451,1.584.095,2003,11
n-tv online,8.537.961,45.420.969,2003,11
N24 Online,988.099,8.468.261,2003,11
Nacktnews,7.326,30.974,2003,11
NBC GIGA,3.288.257,44.110.782,2003,11
Netzmarkt-Deutschlands erstes Internet-Kaufhaus,1.068.304,14.153.483,2003,11
Neue OZ online,239.404,1.199.450,2003,11
Neue Presse,18.098,89.752,2003,11
newsclick.de,250.842,1.811.754,2003,11
Nightloop - die Party-Community,187.136,4.259.991,2003,11
Nordbayern Infonet,532.792,3.620.132,2003,11
NordClick,317.263,2.081.682,2003,11
Nordkurier-Online,86.475,610.554,2003,11
Nordsee-Zeitung online,60.748,494.966,2003,11
NRZ.de (Neue Ruhr/Rhein Zeitung),321.850,2.143.181,2003,11
Nürtinger Zeitung,61.747,336.907,2003,11
NW-News (Neue Westfälische),472.674,2.064.747,2003,11
NWZ-Online,100.121,455.838,2003,11
Oberpfalznetz,92.800,493.719,2003,11
ÖKO-TEST Verbraucherberatung,215.955,2.001.692,2003,11
Offenbach Post Online,93.041,491.187,2003,11
Oktoberfest online,39.458,447.865,2003,11
Oldie 95,9.390,40.829,2003,11
OnVista.de - Spezialist für Finanzinformationen im...,5.567.459,49.137.473,2003,11
ONYX,69.881,279.220,2003,11
Ostfriesen-Zeitung online,57.900,284.275,2003,11
Ostsee-Zeitung.de,201.604,1.052.460,2003,11
OTZ.de (Ostthüringer Zeitung),124.857,845.728,2003,11
ovb-online.de,111.285,1.653.142,2003,11
OWL Online,76.409,403.022,2003,11
Palmtop Magazin,523.707,4.110.191,2003,11
PC GO,176.005,1.369.309,2003,11
PC-MAGAZIN,330.935,1.827.530,2003,11
PC-WELT,4.647.317,34.308.145,2003,11
Perlentaucher,405.920,1.042.294,2003,11
Pfälzischer Merkur Online,13,14,2003,11
Pharmazeutische Zeitung online,96.416,382.271,2003,11
Playboy.de,750.115,11.194.646,2003,11
PNP-Online,199.340,1.686.002,2003,11
Portalkunstgeschichte,12.511,51.536,2003,11
Praline interaktiv,1.570.852,112.703.512,2003,11
PrimusMedia,276.073,1.002.766,2003,11
ProSieben Online,4.131.769,63.214.825,2003,11
publish.de,33.589,99.312,2003,11
Pützchens Markt,1.577,10.298,2003,11
Qualimedic.de,767.748,16.945.352,2003,11
R.SA-Homepage,3.606,8.176,2003,11
Radio Bonn/Rhein-Sieg,14.115,59.195,2003,11
RADIO ENERGY NETWORK,653.339,3.796.292,2003,11
Radio ffn,154.811,862.826,2003,11
Radio Gong,103.792,414.944,2003,11
Radio Hamburg,161.042,1.021.702,2003,11
Radio NORA,26.770,101.564,2003,11
Radio Ostallgäu - Noch näher dran!,1.047,2.715,2003,11
RADIO PSR,293.053,3.768.964,2003,11
Radio Regenbogen,159.938,1.520.486,2003,11
Radio RPR Rheinland-Pfälzische Rundfunk GmbH &...,49.724,414.664,2003,11
Radio Salue,546.957,5.916.564,2003,11
radio SAW,91.396,511.146,2003,11
Radio Schlewig-Holstein (R.SH),154.645,829.095,2003,11
Radio Tele FFH-Server,697.860,2.941.203,2003,11
REISE & PREISE online,80.291,536.254,2003,11
reisen.de,158.135,1.292.535,2003,11
rga-online,63.722,298.502,2003,11
Rhein Main Presse/Main-Rheiner,455.359,2.827.966,2003,11
Rhein-Main.Net,245.843,1.837.504,2003,11
Rheinpfalz-Online,191.221,931.763,2003,11
Ricardo.de,170.680,1.953.726,2003,11
Rosenheimer Nachrichten,10.671,42.847,2003,11
rp-online,2.535.756,17.119.868,2003,11
rs2.de,306.189,2.304.277,2003,11
RT.1 media group,32.830,243.824,2003,11
RTL World - GZSZ,908.687,17.587.551,2003,11
RTL World - RTL 2,617.537,7.210.493,2003,11
RTL World - TOGGO (Super RTL),1.880.200,44.138.762,2003,11
RTL.de,10.098.932,225.793.590,2003,11
RTV de,112.126,626.088,2003,11
RUND-UMS-BABY,494.599,10.986.588,2003,11
RZ-Online,1.068.809,5.175.991,2003,11
Saarland Online,341.830,4.805.218,2003,11
SAT 1 Online,4.487.029,118.919.884,2003,11
Schnigge,11.458,98.985,2003,11
Schwäbische Zeitung Online,365.917,9.566.812,2003,11
Selbst.de,107.257,765.559,2003,11
SHZ.DE - about: media,103.904,654.386,2003,11
SKOL-SÜDKURIER Online,268.929,2.442.056,2003,11
sn-online,13.132,60.321,2003,11
Solingen-online,42.441,266.588,2003,11
Spektrum der Wissenschaft/Wissenschaft online,455.314,1.702.778,2003,11
SPIEGEL ONLINE,32.607.660,159.012.216,2003,11
Spieletips.de,984.982,6.181.728,2003,11
Sport1,7.787.229,48.150.864,2003,11
Stadt Freiburg,140.925,822.675,2003,11
Stellen Online,171.980,814.557,2003,11
stern.de,5.392.601,50.186.677,2003,11
studieren.de,60.463,724.850,2003,11
Stuttgarter Zeitung online & Stuttgarter...,927.101,7.356.211,2003,11
STZ-Online,6.152,24.669,2003,11
sueddeutsche.de,4.209.928,39.125.321,2003,11
Südwest Presse Online,210.090,1.981.425,2003,11
SUPERillu ONLINE,344.093,4.874.815,2003,11
SVZ online,146.413,618.091,2003,11
SW-ONLINE (SWOL),78.424,748.597,2003,11
SZ-Online,558.071,4.723.712,2003,11
T-Online Contentangebot,149.126.823,571.497.128,2003,11
TecChannel,1.239.873,7.108.134,2003,11
tecCHANNEL.com,14.965,70.868,2003,11
Telekom-Baskets-Bonn,88.482,750.304,2003,11
teltarif.de -Kommunikation ganz einfach,1.543.210,7.516.634,2003,11
Thueringer-Allgemeine.de,175.018,1.090.563,2003,11
Ticketonline.de,155.710,1.048.063,2003,11
Tiscali,13.199.664,152.640.587,2003,11
TLZ.de (Thüringische Landeszeitung),98.219,600.752,2003,11
TOMORROW Online,1.036.736,5.267.701,2003,11
Toms Hardware Guide,1.299.378,8.712.183,2003,11
top agrar online,101.247,461.293,2003,11
travelchannel,499.566,4.308.583,2003,11
Truckmarket.de,29.650,292.105,2003,11
TUI.de,1.087.598,12.625.017,2003,11
TV Movie.de,1.296.219,6.503.431,2003,11
TV SPIELFILM Online,1.277.066,7.354.111,2003,11
TV TODAY,1.151.532,7.252.117,2003,11
TW network,137.997,788.633,2003,11
Twnetwork.de Englisch,1.570,10.820,2003,11
tz Online,60.196,165.826,2003,11
Umzug nach Bonn,3.265,9.803,2003,11
UNICUM.de,313.480,2.257.631,2003,11
unterwasser,28.356,189.508,2003,11
Varta Hotel- und Restaurantführer,78.732,693.954,2003,11
Virtueller Marktplatz,3.718,15.907,2003,11
Virtueller Marktplatz Bayern,102.623,584.094,2003,11
VISIONS,216.575,926.616,2003,11
vnunet.de,699.656,2.645.700,2003,11
Vogtland Anzeiger-Online,10.992,48.079,2003,11
"Volksstimme, Magdeburg",129.639,952.033,2003,11
VOX,526.752,5.380.691,2003,11
w&v-online,522.270,1.719.697,2003,11
Wahre Liebe Online,1.717.798,44.359.887,2003,11
WAZ.de (Westdeutsche Allgemeine Zeitung),819.739,5.636.169,2003,11
Wer liefert was? WLW-ONLINE,1.171.530,12.320.619,2003,11
Westfaelische-Rundschau.de,297.792,1.896.383,2003,11
Westfalenpost.de,208.691,1.151.915,2003,11
Westline,740.436,5.537.418,2003,11
wetter.com,2.537.484,12.494.900,2003,11
WetterOnline,5.081.000,31.865.605,2003,11
Winload,1.400.669,9.917.915,2003,11
Wirtschaftsinformatik Online,14.443,43.870,2003,11
WirtschaftsWoche,498.629,2.782.958,2003,11
Witz.de,324,504,2003,11
Wohnidee Online,36.639,653.209,2003,11
WOM,166.911,1.518.846,2003,11
WZ-newsline (Westdeutsche Zeitung),192.243,971.349,2003,11
Xonio - Handys & Mobile Computing Im Test,1.030.466,9.602.541,2003,11
Yam.de,456.992,12.950.735,2003,11
YOPI.de,1.053.798,3.053.193,2003,11
Young Professional,11.878,31.871,2003,11
YoungMiss.de,290.435,6.314.721,2003,11
yovanto,24.274,328.489,2003,11
ZDNet,4.098.845,39.921.174,2003,11
Zeit im Internet,1.450.426,9.285.289,2003,11
104.6 RTL Online,102.932,975.010,2003,12
89.0 RTL - Der neue Sender für die besten Hits von...,25.249,96.004,2003,12
Aachener Nachrichten,83.441,534.729,2003,12
Aachener Zeitung,178.169,883.703,2003,12
Abendzeitung online,71.753,420.101,2003,12
abenteuer und reisen,92.244,485.034,2003,12
Absatzwirtschaft-Online,31.656,147.931,2003,12
Ärzte Zeitung Online,301.128,1.331.111,2003,12
ÄRZTLICHE PRAXIS online,83.289,190.609,2003,12
all-in.de - Das Allgäu online!,99.097,835.121,2003,12
all4engineers-Netzwerk für Ingenieure,28.762,173.993,2003,12
Allegra.de,145.704,1.559.954,2003,12
Allgemeiner-Anzeiger.de,4.549,11.839,2003,12
almeda.de - Ihr Gesundheitsnetz,55.109,247.082,2003,12
AMICA Online,665.634,11.960.815,2003,12
Antenne Bayern,2.793.367,24.208.411,2003,12
Anwalt-Suchservice,42.307,260.098,2003,12
anwalt24.de,40.045,200.272,2003,12
AOL (abonnierter Dienst),91.992.555,269.369.614,2003,12
AOL.de,25.487.143,121.425.542,2003,12
apotheke.com,125.862,405.286,2003,12
ARIVA.DE,593.684,5.127.833,2003,12
ASTROWOCHE,295.539,2.828.860,2003,12
Augsburger Allgemeine Online,246.538,2.445.327,2003,12
autobild.de,1.192.521,19.570.227,2003,12
Autohaus Online,155.598,544.809,2003,12
Baden Online,77.414,753.176,2003,12
baden24.de,115.273,850.216,2003,12
Badische Zeitung Online,206.670,1.659.394,2003,12
BAULINKS.de,337.421,1.069.049,2003,12
BauNetz,218.577,1.620.485,2003,12
Bayreuth.de,68.908,337.970,2003,12
Beig Verlag,14.894,63.158,2003,12
Bellevue,45.466,915.262,2003,12
Berlin 1,1.358.093,14.262.355,2003,12
Berlin.de,1.450.661,9.031.671,2003,12
Berliner Rundfunk.de,88.707,465.089,2003,12
BerlinOnline,951.353,8.515.568,2003,12
beyars.com,100.399,402.743,2003,12
Bild.de,17.299.045,225.080.205,2003,12
bildschirmschoner.de,483.575,5.274.646,2003,12
boerse-online.de,725.619,5.993.367,2003,12
Bonn XXL,28.931,117.747,2003,12
Bonner Illustrierte,15.540,80.435,2003,12
Bonnsite,19.201,67.056,2003,12
BRAVO.de,1.306.942,23.849.865,2003,12
Brigitte.de,932.334,15.572.809,2003,12
BUNTE.T-Online.de,1.517.033,17.398.114,2003,12
Business-Guide,52.000,251.385,2003,12
capital.de,331.887,2.296.672,2003,12
CHART-RADIO,152.653,693.341,2003,12
Chiemgau Online,32.878,106.796,2003,12
CHIP Online,13.571.403,91.825.850,2003,12
ciao.com,2.760.522,18.290.938,2003,12
CINA,39.243,247.163,2003,12
CINA Bibelserver,43.785,340.821,2003,12
CINA Jesus-online,58.502,208.210,2003,12
CINA Joe-Max,8.368,52.961,2003,12
CINA Life-TV,6.993,23.558,2003,12
CINA Nikodemus,25.196,102.418,2003,12
CINA predigtnetz,7.623,45.352,2003,12
CINA Sound7,15.128,83.413,2003,12
CINEMA Online,777.529,7.100.567,2003,12
CIO,41.165,105.690,2003,12
CityInfoNetz,135.535,462.807,2003,12
cityweb.de,637.103,3.583.867,2003,12
Computer Partner Online,256.859,746.097,2003,12
Computerwoche Online,538.745,1.506.977,2003,12
condomi.com,2.046,2.731,2003,12
Connect,187.278,881.620,2003,12
Cortal Consors S.A.,3.160.360,24.450.039,2003,12
Coupé Online,2.401.741,104.871.383,2003,12
Delmenhorster Kreisblatt (dk-online.de),18.332,139.863,2003,12
delta radio,116.288,444.713,2003,12
Der Betrieb Online,13.227,49.508,2003,12
DER FONDS,25.182,77.041,2003,12
Detail - Zeitschrift für Architektur + Baudetail,40.020,307.041,2003,12
Deutscher Alpenverein e.V.,86.337,405.206,2003,12
Deutsches Ärzteblatt - online,158.318,1.237.474,2003,12
DEWEZET.de,103.280,507.001,2003,12
DIE WELT online,2.511.051,14.848.336,2003,12
Discovery Online,176.321,620.572,2003,12
DMEuro.com,209.271,983.877,2003,12
donaukurier.de,52.564,643.150,2003,12
Download.de,540.542,2.821.768,2003,12
Düsseldorf Diskret,7.984,92.969,2003,12
Echo Online,163.716,1.050.212,2003,12
eComments.de,1,1,2003,12
Edgar,1.990.356,12.048.945,2003,12
Ein Herz für Tiere,67.745,928.068,2003,12
Elektroniknet,58.451,192.896,2003,12
Elektronikpraxis.de,18.676,47.123,2003,12
Elektrotechnik.de,7.615,16.044,2003,12
ELLE,138.893,1.234.206,2003,12
Eltern.de,433.907,10.461.607,2003,12
energie.de,11.694,45.131,2003,12
ENERGY Sachsen,57.969,303.515,2003,12
ePost,778.784,4.871.057,2003,12
ERF,36.711,127.227,2003,12
Eurogay media  AG,310.349,3.756.886,2003,12
Express Online,1.153.427,11.164.228,2003,12
F1Total.com - Formel-1-Informationsdienst,473.889,2.729.563,2003,12
Facharzt.de,60.300,621.148,2003,12
Fachzeitschriften Portal,7.698,58.334,2003,12
Falk,1.893.005,13.249.187,2003,12
Familie&Co-Online,115.415,1.250.373,2003,12
Fashionseek.net,4.681,13.711,2003,12
FAZ.NET,2.668.738,19.606.976,2003,12
Financial Times Deutschland,2.381.392,8.341.576,2003,12
FINANZ BETRIEB,4.561,12.961,2003,12
finanzen.net - Internetservice für Kapitalanleger,305.062,2.669.726,2003,12
Finanztreff.de,2.896.594,25.050.676,2003,12
FIT FOR FUN Online,301.934,3.490.101,2003,12
Fleischwirtschaft.de,9.663,42.649,2003,12
FNweb,46.385,188.207,2003,12
FOCUS ONLINE,10.825.054,100.238.875,2003,12
Fränkischer Tag Online,96.823,406.004,2003,12
Frankenpost online,118.062,1.104.578,2003,12
Frankfurter Rundschau online,674.172,3.885.544,2003,12
Freie Presse Online,348.161,2.136.729,2003,12
Freies Wort- Online,39.767,316.593,2003,12
freundin online,302.412,2.256.786,2003,12
FUNAMA-REPUBLIC,288.784,7.306.023,2003,12
GALA Online,190.765,1.117.521,2003,12
GamePRO,120.762,1.393.317,2003,12
GameStar,2.580.655,17.913.676,2003,12
gamigo.de,3.492.668,42.102.787,2003,12
Gastronomie Report Online,15.833,63.359,2003,12
GayRoyal,1.131.025,40.054.319,2003,12
GBI the contentmachine,120.417,1.404.332,2003,12
GEA online,37.281,208.672,2003,12
General-Anzeiger Online,574.456,5.434.263,2003,12
General-Anzeiger-Rhauderfehn,65.938,213.415,2003,12
GENIOS Internet,42.343,339.908,2003,12
GEO.de,359.516,3.299.341,2003,12
Gesundheit-aktuell - Ihr Online...,12.146,60.970,2003,12
Golf.de - das Internetportal für den Golfsport,115.571,968.489,2003,12
Guter Rat - Das moderne Ratgeber-Magazin,21.187,62.083,2003,12
GZ online,45.843,327.478,2003,12
Hamburger Abendblatt Online,1.236.688,8.979.328,2003,12
Hamburger Morgenpost Online,431.962,3.143.051,2003,12
Handelsblatt Junge Karriere,129.237,1.193.538,2003,12
Handelsblatt.com,2.491.874,12.087.957,2003,12
handy.de,1.057.592,12.572.361,2003,12
Hannoversche Allgemeine Zeitung,190.890,883.563,2003,12
HAO >> der Onlinedienst des Hellweger Anzeigers...,15.029,64.124,2003,12
Harburger Anzeigen und Nachrichten,24.515,99.475,2003,12
HAUS+GARTEN ONLINE,105.535,829.822,2003,12
Hausarbeiten.de,901.299,4.411.965,2003,12
Heidenheimer Zeitung online,35.797,117.465,2003,12
Heilbronner Stimme online,260.868,1.688.707,2003,12
Heilpflanzen-Welt,397.268,1.609.560,2003,12
heise online,17.489.249,100.122.945,2003,12
Hightext iBusiness,170.779,438.053,2003,12
Hit Radio Antenne,197.282,4.582.879,2003,12
Hit-Radio Antenne1,140.490,455.306,2003,12
HitMachine.de,5.824,27.685,2003,12
HNA online,135.737,539.820,2003,12
Holzmann.de,31.356,86.686,2003,12
HORIZONT.NET,267.936,1.289.824,2003,12
http://www.diabetes-world.net,75.134,333.332,2003,12
Idowa Online,56.047,558.077,2003,12
IKZ-online.de (Iserlohner Kreisanzeiger),25.109,137.087,2003,12
impulse.de,94.225,306.628,2003,12
INTERNET-MAGAZIN,32.752,159.711,2003,12
Internetcologne,2.027.751,3.577.689,2003,12
INTRINET,198.297,1.775.663,2003,12
janolaw - Die juristische Direktberatung,82.089,388.532,2003,12
Jesus.de,377.463,4.791.726,2003,12
Journalismus.com,50.035,762.880,2003,12
JPC,856.665,6.418.870,2003,12
Kabel 1,563.460,6.778.879,2003,12
Kamelle,5.385,25.543,2003,12
kanumagazin.de,6.910,21.923,2003,12
kicker online,4.580.027,34.423.011,2003,12
Kilahu - Ihre Insel im Netz,687.483,6.895.230,2003,12
KISS FM,157.240,857.896,2003,12
Kochen & Genießen Online,136.529,1.538.685,2003,12
Köln Diskret,20.933,538.692,2003,12
Koeln.de,1.110.271,9.676.839,2003,12
Kölner Stadt-Anzeiger Online,671.239,4.939.947,2003,12
Kölnische Rundschau,192.483,758.101,2003,12
Konstruktionspraxis.de,8.747,23.508,2003,12
Kontaktanzeigen.de,136.569,1.367.241,2003,12
Kostenlos,885.334,7.234.781,2003,12
kress.de,201.632,471.226,2003,12
Kunststoffe.de,6.867,49.273,2003,12
L'TUR Last Minute Online,1.431.524,16.840.281,2003,12
Ladies.de,445.209,11.126.427,2003,12
LAUT. der musikkanal.,769.895,3.856.564,2003,12
Liebe Suende Online,67.565,2.085.634,2003,12
Lifeline-Gesundheitsberater,343.731,1.769.258,2003,12
Lissy-Online,57.473,1.010.018,2003,12
Live in Concert online,977,1.588,2003,12
Living at home,389.214,5.734.809,2003,12
LR-Online,80.007,1.159.604,2003,12
LVZ-Online,358.549,2.957.854,2003,12
LZ-Online (Lippische Landes-Zeitung),31.032,130.349,2003,12
LZ|NET,260.773,1.038.988,2003,12
macnews.de,831.588,2.423.757,2003,12
Macwelt,230.896,919.244,2003,12
Märkische Oderzeitung Online,53.398,295.177,2003,12
MaerkischeAllgemeine.de,129.606,823.632,2003,12
Main-Netz,87.727,1.047.083,2003,12
mainpost.de,216.816,2.561.019,2003,12
manager magazin online,2.709.686,9.701.401,2003,12
Managers Health,1.371,6.183,2003,12
Marco Polo,174.413,1.267.731,2003,12
MAX Online,1.571.646,16.212.142,2003,12
MaximOnline.de,392.015,7.144.049,2003,12
Media-Daten.com,23.943,154.495,2003,12
Mein schöner Garten Online,77.567,562.329,2003,12
meinberlin,739.122,4.712.408,2003,12
meinestadt.de,3.223.796,81.119.303,2003,12
MensHealth.de,176.391,1.115.154,2003,12
Merkur-Online,221.876,1.635.040,2003,12
mobile.de Der Automarkt,16.336.906,567.405.833,2003,12
moneyspecial,35.027,140.041,2003,12
Morgenweb,165.462,1.197.630,2003,12
Motorrad-Online,115.865,1.234.930,2003,12
Mountainbikemagazin.de,81.112,794.505,2003,12
MSN,83.789.517,372.947.328,2003,12
mt-online,58.257,198.697,2003,12
mtv.de,1.474.860,12.680.912,2003,12
multimedia.de,32.006,173.040,2003,12
multimedica - Medizin im Internet,263.195,2.363.645,2003,12
MVweb,99.820,578.426,2003,12
mz-web.de,182.153,1.236.225,2003,12
n-tv online,7.848.376,42.047.338,2003,12
N24 Online,1.007.607,10.431.743,2003,12
Nacktnews,3.732,21.860,2003,12
NBC GIGA,2.971.250,55.483.431,2003,12
Netzmarkt-Deutschlands erstes Internet-Kaufhaus,1.006.140,15.387.215,2003,12
Neue OZ online,207.855,926.237,2003,12
Neue Presse,18.099,140.555,2003,12
newsclick.de,249.087,1.646.159,2003,12
Nightloop - die Party-Community,188.552,5.047.046,2003,12
Nordbayern Infonet,560.245,4.008.467,2003,12
NordClick,260.793,1.625.071,2003,12
Nordkurier-Online,78.199,590.809,2003,12
Nordsee-Zeitung online,50.277,411.520,2003,12
NRZ.de (Neue Ruhr/Rhein Zeitung),262.551,1.804.082,2003,12
Nürtinger Zeitung,46.151,221.157,2003,12
NW-News (Neue Westfälische),401.383,1.745.054,2003,12
NWZ-Online,90.298,407.089,2003,12
Oberpfalznetz,70.910,368.083,2003,12
ÖKO-TEST Verbraucherberatung,186.709,1.640.004,2003,12
Offenbach Post Online,68.769,375.954,2003,12
Oktoberfest online,26.998,306.456,2003,12
Oldie 95,9.173,51.273,2003,12
OnVista.de - Spezialist für Finanzinformationen im...,4.838.048,40.910.851,2003,12
ONYX,66.312,275.339,2003,12
Ostfriesen-Zeitung online,48.873,238.864,2003,12
Ostsee-Zeitung.de,165.443,942.796,2003,12
OTZ.de (Ostthüringer Zeitung),105.711,725.736,2003,12
outdoor-magazin.com,28.738,191.323,2003,12
ovb-online.de,104.410,1.896.264,2003,12
OWL Online,54.874,282.673,2003,12
Palmtop Magazin,518.816,4.420.279,2003,12
PC GO,150.281,1.210.651,2003,12
PC-MAGAZIN,302.017,1.835.574,2003,12
PC-WELT,4.406.513,30.183.949,2003,12
Perlentaucher,350.300,956.615,2003,12
Pfälzischer Merkur Online,11,11,2003,12
Pharmazeutische Zeitung online,80.718,281.727,2003,12
planetsnow.de,7.480,83.722,2003,12
Playboy.de,654.184,11.339.667,2003,12
PNP-Online,169.783,1.791.934,2003,12
Portalkunstgeschichte,17.054,54.050,2003,12
Praline interaktiv,1.678.292,117.003.841,2003,12
PrimusMedia,226.634,796.565,2003,12
ProSieben Online,3.930.450,63.644.362,2003,12
publish.de,26.700,78.454,2003,12
Pützchens Markt,1.150,7.218,2003,12
Qualimedic.de,629.574,13.715.752,2003,12
R.SA-Homepage,3.600,12.824,2003,12
Radio Bonn/Rhein-Sieg,11.905,53.727,2003,12
RADIO ENERGY NETWORK,548.614,3.265.266,2003,12
Radio ffn,135.077,610.942,2003,12
Radio Gong,97.403,395.386,2003,12
Radio Hamburg,159.560,1.096.997,2003,12
Radio NORA,23.591,97.836,2003,12
Radio Ostallgäu - Noch näher dran!,762,2.486,2003,12
RADIO PSR,156.563,1.400.517,2003,12
Radio Regenbogen,155.275,1.389.074,2003,12
Radio RPR Rheinland-Pfälzische Rundfunk GmbH &...,17.505,161.709,2003,12
Radio Salue,533.403,5.984.651,2003,12
radio SAW,93.605,668.330,2003,12
Radio Schlewig-Holstein (R.SH),192.099,986.581,2003,12
Radio Tele FFH-Server,738.391,3.542.425,2003,12
REISE & PREISE online,66.672,407.559,2003,12
reisen.de,151.037,1.538.761,2003,12
rga-online,58.803,265.803,2003,12
Rhein Main Presse/Main-Rheiner,345.146,2.361.184,2003,12
Rhein-Main.Net,204.418,1.578.366,2003,12
Rheinpfalz-Online,163.052,753.433,2003,12
Ricardo.de,17.486,97.246,2003,12
Rosenheimer Nachrichten,10.904,36.707,2003,12
rp-online,2.361.872,15.517.894,2003,12
rs2.de,272.281,1.819.099,2003,12
RT.1 media group,30.147,267.664,2003,12
RTL World - GZSZ,915.320,19.070.898,2003,12
RTL World - RTL 2,544.990,7.887.745,2003,12
RTL World - TOGGO (Super RTL),1.810.278,47.893.212,2003,12
RTL.de,12.778.875,281.677.045,2003,12
RTV de,106.072,602.195,2003,12
RUND-UMS-BABY,530.736,11.346.537,2003,12
RZ-Online,966.066,4.637.792,2003,12
Saarland Online,288.838,4.967.206,2003,12
SAT 1 Online,3.971.915,85.620.756,2003,12
Schnigge,9.101,59.315,2003,12
Schwäbische Zeitung Online,433.160,8.226.682,2003,12
Selbst.de,75.460,592.049,2003,12
SHZ.DE - about: media,93.352,645.158,2003,12
SKOL-SÜDKURIER Online,196.942,2.019.802,2003,12
sn-online,11.670,52.786,2003,12
Solingen-online,36.027,217.134,2003,12
Spektrum der Wissenschaft/Wissenschaft online,398.229,1.502.195,2003,12
SPIEGEL ONLINE,30.710.821,155.017.684,2003,12
Spieletipps.de,1.337.051,8.157.042,2003,12
Sport1,6.827.814,41.149.609,2003,12
Stadt Freiburg,121.749,740.947,2003,12
Stellen Online,108.820,551.669,2003,12
